feature,gain
rv_1s,221533.5
rv_5s_mean_past,96342.7890625
r_1s_std_5s,42876.1484375
regime_ofi_1.0,34181.71484375
regime_ofi,31096.2109375
depth_ask_top1,23841.962890625
ofi_top1,23488.787109375
rv_5s_past,22461.873046875
bids_notional_0,21849.8046875
rebal_imb_top1,19848.69140625
asks_notional_0,19522.48046875
mo_price_impact_proxy,18078.1015625
press_bid_top1,17461.232421875
press_ask_top1,16651.08984375
rv_30s_mean_past,15404.3779296875
imb_voladj_top1,15118.36328125
rv_30s_past,14187.5322265625
rv_60s_mean_past,14144.92578125
depth_bid_top1,13469.3212890625
spread_mean_30s,12313.7978515625
ofi_top5,12081.0888671875
ofi_top10,11783.640625
liq_fade_top10,11523.4931640625
spread_mean_5s,11251.935546875
mid_log,11167.6083984375
spread,11044.5
microprice,10260.9013671875
net_liq_change_top1,10196.5478515625
r_1s_std_30s,9900.8662109375
liq_fade_top5,9124.1220703125
rebal_imb_top10,9110.6123046875
rv_60s_past,7856.95068359375
imb_top1,7749.72802734375
asks_distance_0,7687.6748046875
sells,7506.18310546875
bids_distance_0,6963.35302734375
r_1s_std_60s,6110.9873046875
spread_mean_60s,5762.77587890625
mo_intensity,5302.0869140625
press_ask_top10,4991.892578125
rebal_imb_top5,4840.49853515625
press_ask_top5,4775.04833984375
liq_fade_top1,4583.02685546875
bids_distance_6,4447.65966796875
bids_distance_8,4148.787109375
bids_distance_11,3903.73388671875
midpoint,3505.782470703125
press_bid_top10,3296.9990234375
depth_tot_top1,3114.731201171875
microprice_disp,3103.540771484375
bids_distance_7,3045.459228515625
buys_sum_60s,3022.3330078125
sells_sum_5s,2974.740966796875
sells_sum_60s,2885.193603515625
buys,2734.68994140625
bids_distance_9,2733.1591796875
bids_distance_13,2554.649169921875
buys_sum_5s,2494.85791015625
bids_distance_10,2454.46435546875
press_bid_top5,2424.775146484375
buys_sum_30s,2369.413818359375
asks_limit_notional_1,2342.881591796875
bids_distance_5,2205.62890625
bids_distance_14,2121.042724609375
bids_distance_1,2096.3095703125
asks_distance_9,2048.661865234375
asks_distance_14,2040.2154541015625
bids_distance_12,1973.92724609375
imb_top5,1971.365234375
asks_limit_notional_12,1926.525634765625
net_liq_change_top5,1913.716064453125
asks_distance_11,1862.462890625
bids_limit_notional_14,1853.4010009765625
asks_distance_1,1835.802978515625
mo_imbalance,1833.6458740234375
imb_top10,1801.10986328125
asks_limit_notional_14,1787.613037109375
imb_voladj_top10,1766.622802734375
depth_bid_top5,1724.6470947265625
asks_distance_7,1713.56298828125
asks_cancel_notional_4,1705.97314453125
sells_sum_30s,1696.011474609375
asks_distance_10,1695.8525390625
bids_market_notional_0,1676.251953125
bids_distance_3,1666.5943603515625
asks_distance_8,1659.6705322265625
depth_tot_top5,1650.5125732421875
bids_limit_notional_11,1638.0303955078125
depth_ask_top10,1635.3433837890625
asks_distance_13,1634.9669189453125
bids_cancel_notional_10,1634.900390625
bids_limit_notional_1,1634.7041015625
bids_cancel_notional_9,1630.940185546875
regime_depth,1620.5667724609375
bids_cancel_notional_2,1610.449462890625
depth_bid_top10,1606.459228515625
asks_distance_12,1594.48974609375
asks_cancel_notional_6,1575.3284912109375
depth_tot_top10,1570.1490478515625
asks_distance_2,1556.961181640625
asks_cancel_notional_9,1541.7962646484375
asks_limit_notional_13,1536.56787109375
net_flow_5s,1536.0982666015625
asks_cancel_notional_3,1535.2830810546875
depth_ask_top5,1535.1351318359375
asks_notional_1,1517.9517822265625
asks_cancel_notional_10,1514.7921142578125
bids_distance_4,1514.1900634765625
asks_distance_5,1498.9654541015625
bids_limit_notional_13,1491.6986083984375
bids_cancel_notional_5,1489.43408203125
asks_distance_3,1484.896484375
asks_distance_4,1469.9813232421875
bids_cancel_notional_11,1468.82666015625
asks_distance_6,1465.25341796875
bids_cancel_notional_14,1458.061279296875
bids_distance_2,1448.480224609375
regime_depth_1.0,1441.301513671875
net_flow_30s,1436.3433837890625
bids_notional_1,1435.176025390625
cancel_sum_top5_asks,1416.724609375
asks_limit_notional_10,1410.6951904296875
asks_notional_4,1407.947021484375
asks_cancel_notional_11,1405.1300048828125
asks_limit_notional_7,1397.3048095703125
asks_market_notional_0,1394.4876708984375
net_flow_60s,1386.33642578125
asks_cancel_notional_8,1383.865478515625
mo_imb_voladj,1379.844970703125
imb_voladj_top5,1378.6693115234375
bids_cancel_notional_13,1368.77685546875
regime_vol_1.0,1368.6336669921875
asks_notional_2,1353.93896484375
bids_limit_notional_0,1329.7142333984375
asks_cancel_notional_7,1304.9300537109375
bids_notional_3,1290.320556640625
asks_notional_5,1289.3516845703125
bids_limit_notional_10,1284.62060546875
asks_limit_notional_6,1283.2197265625
limit_sum_top1_bids,1282.5384521484375
asks_limit_notional_11,1271.1033935546875
limit_sum_top1_asks,1270.73095703125
asks_notional_12,1267.449462890625
bids_cancel_notional_6,1264.1824951171875
asks_notional_7,1259.477294921875
bids_limit_notional_7,1257.3177490234375
bids_notional_6,1253.869140625
bids_notional_2,1245.464111328125
asks_notional_8,1242.7489013671875
asks_notional_6,1241.9158935546875
asks_limit_notional_8,1237.6722412109375
asks_limit_notional_0,1235.096923828125
asks_notional_10,1230.546142578125
bids_notional_4,1228.99462890625
asks_notional_11,1227.350830078125
asks_notional_3,1226.866943359375
bids_limit_notional_12,1226.53271484375
asks_cancel_notional_0,1224.668212890625
bids_notional_10,1215.3851318359375
asks_notional_9,1215.017333984375
bids_notional_5,1208.5
limit_sum_top5_bids,1208.2279052734375
cancel_sum_top5_bids,1201.6392822265625
asks_limit_notional_9,1198.515380859375
limit_sum_top5_asks,1198.2747802734375
bids_notional_11,1190.1192626953125
asks_limit_notional_2,1188.777099609375
bids_cancel_notional_4,1178.390380859375
bids_notional_12,1167.5198974609375
asks_cancel_notional_5,1165.0927734375
bids_notional_7,1163.40771484375
bids_limit_notional_3,1159.617431640625
bids_cancel_notional_0,1157.0697021484375
asks_cancel_notional_1,1156.61328125
bids_notional_9,1154.2911376953125
bids_limit_notional_9,1154.21875
asks_cancel_notional_2,1151.1217041015625
bids_limit_notional_6,1136.3299560546875
asks_limit_notional_5,1132.2335205078125
asks_notional_14,1123.7515869140625
bids_notional_13,1122.564453125
bids_cancel_notional_12,1120.16015625
bids_notional_14,1118.209228515625
bids_notional_8,1105.1099853515625
bids_limit_notional_4,1084.300537109375
asks_limit_notional_3,1082.039306640625
asks_limit_notional_4,1073.984130859375
bids_limit_notional_5,1065.5517578125
bids_limit_notional_8,1064.68603515625
bids_limit_notional_2,1043.265869140625
cancel_sum_top1_asks,1016.9129638671875
asks_cancel_notional_14,998.1370849609375
asks_notional_13,993.1178588867188
bids_cancel_notional_8,982.4290771484375
asks_cancel_notional_12,969.1417236328125
bids_cancel_notional_3,956.0618286132812
asks_cancel_notional_13,946.61669921875
bids_cancel_notional_7,920.5359497070312
cancel_sum_top1_bids,899.8114624023438
bids_cancel_notional_1,824.8275146484375
r_1s,536.130126953125
asks_market_notional_1,112.62083435058594
asks_market_notional_6,0.0
asks_market_notional_7,0.0
asks_market_notional_5,0.0
asks_market_notional_8,0.0
asks_market_notional_9,0.0
regime_depth_2.0,0.0
regime_vol,0.0
regime_vol_0.0,0.0
regime_spread,0.0
regime_ofi_2.0,0.0
asks_market_notional_4,0.0
regime_vol_2.0,0.0
regime_depth_0.0,0.0
rv_regime,0.0
regime_spread_0.0,0.0
regime_ofi_0.0,0.0
bids_market_notional_13,0.0
bids_market_notional_14,0.0
bids_market_notional_3,0.0
bids_market_notional_4,0.0
bids_market_notional_7,0.0
bids_market_notional_8,0.0
bids_market_notional_9,0.0
bids_market_notional_10,0.0
asks_market_notional_13,0.0
bids_market_notional_12,0.0
bids_market_notional_1,0.0
asks_market_notional_10,0.0
asks_market_notional_11,0.0
asks_market_notional_12,0.0
bids_market_notional_2,0.0
asks_market_notional_14,0.0
bids_market_notional_5,0.0
bids_market_notional_6,0.0
asks_market_notional_2,0.0
asks_market_notional_3,0.0
bids_market_notional_11,0.0
